TimeUTC,timestampInMs,requestPath,requestMethod,requestQueryString,responseStatusCode,requestId,requestUserAgent,level,environment,branch,vercelCache,type,function,host,deploymentDomain,deploymentId,durationMs,region,maxMemoryUsed,memorySize,message,projectId,traceId,sessionId,invocationId,instanceId,concurrency
2026-03-09 12:29:19,1773059359631,like-in-house-web-rzck-cz308vqhy-likeinhouses-projects.vercel.app/,GET,,307,22kfz-1773059359631-f4f8c814e4e2,vercel-screenshot/1.0,,production,main,,middleware,src/middleware,like-in-house-web-rzck-cz308vqhy-likeinhouses-projects.vercel.app,like-in-house-web-rzck-cz308vqhy-likeinhouses-projects.vercel.app,dpl_GmoSezsgAC5tPtATw7uqKg2W7CnH,11,sfo1,261,2048,,prj_dNXcEcgiNu2rz3iBT2Fqdx8SX6eG,,,01KK995GWXWGH4M4HJAQ1DG1DP,e0MgE6pdJdOI,1
2026-03-09 12:29:19,1773059359631,like-in-house-web-rzck-cz308vqhy-likeinhouses-projects.vercel.app/,GET,,307,22kfz-1773059359631-f4f8c814e4e2,vercel-screenshot/1.0,,production,main,,redirect,/,like-in-house-web-rzck-cz308vqhy-likeinhouses-projects.vercel.app,like-in-house-web-rzck-cz308vqhy-likeinhouses-projects.vercel.app,dpl_GmoSezsgAC5tPtATw7uqKg2W7CnH,35,sfo1,,,,prj_dNXcEcgiNu2rz3iBT2Fqdx8SX6eG,,,,,
2026-03-09 12:29:19,1773059359096,like-in-house-web-rzck-cz308vqhy-likeinhouses-projects.vercel.app/,GET,,,5gkwg-1773059359096-3bbeccd5e487,vercel-screenshot/1.0,,production,,,middleware,src/middleware,like-in-house-web-rzck-cz308vqhy-likeinhouses-projects.vercel.app,,dpl_GmoSezsgAC5tPtATw7uqKg2W7CnH,38,sfo1,261,2048,,prj_dNXcEcgiNu2rz3iBT2Fqdx8SX6eG,,,01KK995GC2PP6XCYBG6YDZH2VZ,e0MgE6pdJdOI,1
2026-03-09 12:29:07,1773059347498,"like-in-house-web-rzck.vercel.app/api/trpc/public.toursByDestination,public.featuredTours,public.settings",GET,batch=1&input=%7B%220%22%3A%7B%22json%22%3Anull%2C%22meta%22%3A%7B%22values%22%3A%5B%22undefined%22%5D%2C%22v%22%3A1%7D%7D%2C%221%22%3A%7B%22json%22%3Anull%2C%22meta%22%3A%7B%22values%22%3A%5B%22undefined%22%5D%2C%22v%22%3A1%7D%7D%2C%222%22%3A%7B%22json%22%3Anull%2C%22meta%22%3A%7B%22values%22%3A%5B%22undefined%22%5D%2C%22v%22%3A1%7D%7D%7D,200,lnwdx-1773059347498-3cc32ef8d83e,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36",,production,main,MISS,function,/api/trpc/[trpc],like-in-house-web-rzck.vercel.app,like-in-house-web-rzck-cz308vqhy-likeinhouses-projects.vercel.app,dpl_GmoSezsgAC5tPtATw7uqKg2W7CnH,35,iad1,309,2048,,prj_dNXcEcgiNu2rz3iBT2Fqdx8SX6eG,,,01KK99553G2FKM8ZGP7KDHWQ1X,YSS18lmMPwJS,1
2026-03-09 12:29:06,1773059346159,"like-in-house-web-rzck.vercel.app/api/trpc/public.toursByDestination,public.featuredTours,public.settings",GET,batch=1&input=%7B%220%22%3A%7B%22json%22%3Anull%2C%22meta%22%3A%7B%22values%22%3A%5B%22undefined%22%5D%2C%22v%22%3A1%7D%7D%2C%221%22%3A%7B%22json%22%3Anull%2C%22meta%22%3A%7B%22values%22%3A%5B%22undefined%22%5D%2C%22v%22%3A1%7D%7D%2C%222%22%3A%7B%22json%22%3Anull%2C%22meta%22%3A%7B%22values%22%3A%5B%22undefined%22%5D%2C%22v%22%3A1%7D%7D%7D,200,fvn5k-1773059345390-937e884ec9cf,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36",info,production,main,MISS,function,/api/trpc/[trpc],like-in-house-web-rzck.vercel.app,like-in-house-web-rzck.vercel.app,dpl_GmoSezsgAC5tPtATw7uqKg2W7CnH,,,,,"⚠️ Missing recommended environment variables: PAYPAL_WEBHOOK_ID, PAYPAL_CLIENT_ID, PAYPAL_CLIENT_SECRET. Some features (payments, emails, webhooks) may not work correctly.",prj_dNXcEcgiNu2rz3iBT2Fqdx8SX6eG,,,,,
2026-03-09 12:29:05,1773059345390,"like-in-house-web-rzck.vercel.app/api/trpc/public.toursByDestination,public.featuredTours,public.settings",GET,batch=1&input=%7B%220%22%3A%7B%22json%22%3Anull%2C%22meta%22%3A%7B%22values%22%3A%5B%22undefined%22%5D%2C%22v%22%3A1%7D%7D%2C%221%22%3A%7B%22json%22%3Anull%2C%22meta%22%3A%7B%22values%22%3A%5B%22undefined%22%5D%2C%22v%22%3A1%7D%7D%2C%222%22%3A%7B%22json%22%3Anull%2C%22meta%22%3A%7B%22values%22%3A%5B%22undefined%22%5D%2C%22v%22%3A1%7D%7D%7D,200,fvn5k-1773059345390-937e884ec9cf,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36",,production,main,MISS,function,/api/trpc/[trpc],like-in-house-web-rzck.vercel.app,like-in-house-web-rzck.vercel.app,dpl_GmoSezsgAC5tPtATw7uqKg2W7CnH,999,iad1,309,2048,,prj_dNXcEcgiNu2rz3iBT2Fqdx8SX6eG,,,01KK99531VGSDNJT7BJ14SHJ95,YSS18lmMPwJS,1
2026-03-09 12:29:04,1773059344972,like-in-house-web-rzck-cz308vqhy-likeinhouses-projects.vercel.app/en/tours/cusco-magico-4d-3n,GET,_rsc=8rrgv,,kg9lv-1773059344972-1f17fcdbbc02,vercel-screenshot/1.0,,production,,,middleware,src/middleware,like-in-house-web-rzck-cz308vqhy-likeinhouses-projects.vercel.app,,dpl_GmoSezsgAC5tPtATw7uqKg2W7CnH,11,sfo1,259,2048,,prj_dNXcEcgiNu2rz3iBT2Fqdx8SX6eG,,,01KK9952JGKG9T9WWEAMMS01TQ,e0MgE6pdJdOI,1
2026-03-09 12:29:04,1773059344972,like-in-house-web-rzck-cz308vqhy-likeinhouses-projects.vercel.app/en/tours/cusco-magico-4d-3n,GET,_rsc=8rrgv,,kg9lv-1773059344972-1f17fcdbbc02,vercel-screenshot/1.0,,production,,,function,/[locale]/tours/[slug].rsc,like-in-house-web-rzck-cz308vqhy-likeinhouses-projects.vercel.app,,dpl_GmoSezsgAC5tPtATw7uqKg2W7CnH,1809,iad1,299,2048,,prj_dNXcEcgiNu2rz3iBT2Fqdx8SX6eG,,,01KK9951R21YEVV2RYT6CE1GFG,9wEYNJMBNQcR,2
2026-03-09 12:29:04,1773059344961,"like-in-house-web-rzck.vercel.app/api/trpc/public.toursByDestination,public.featuredTours,public.settings",GET,batch=1&input=%7B%220%22%3A%7B%22json%22%3Anull%2C%22meta%22%3A%7B%22values%22%3A%5B%22undefined%22%5D%2C%22v%22%3A1%7D%7D%2C%221%22%3A%7B%22json%22%3Anull%2C%22meta%22%3A%7B%22values%22%3A%5B%22undefined%22%5D%2C%22v%22%3A1%7D%7D%2C%222%22%3A%7B%22json%22%3Anull%2C%22meta%22%3A%7B%22values%22%3A%5B%22undefined%22%5D%2C%22v%22%3A1%7D%7D%7D&nxtPtrpc=public.toursByDestination%2Cpublic.featuredTours%2Cpublic.settings,200,pwlt8-1773059344961-0a876c24306e,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36",,production,main,MISS,function,/api/trpc/[trpc],like-in-house-web-rzck.vercel.app,like-in-house-web-rzck-cz308vqhy-likeinhouses-projects.vercel.app,dpl_GmoSezsgAC5tPtATw7uqKg2W7CnH,34,iad1,341,2048,,prj_dNXcEcgiNu2rz3iBT2Fqdx8SX6eG,,,01KK9952M4K00NFM6PXKTRJFE1,lXVU2U21OFEE,1
2026-03-09 12:29:03,1773059343922,like-in-house-web-rzck-cz308vqhy-likeinhouses-projects.vercel.app/en/tours/cusco-magico-4d-3n,GET,_rsc=8rrgv,,jxgbt-1773059343922-cba60d9c3ec3,vercel-screenshot/1.0,,production,,,middleware,src/middleware,like-in-house-web-rzck-cz308vqhy-likeinhouses-projects.vercel.app,,dpl_GmoSezsgAC5tPtATw7uqKg2W7CnH,12,sfo1,259,2048,,prj_dNXcEcgiNu2rz3iBT2Fqdx8SX6eG,,,01KK9951HQEZ2PR41TXNZMM5Z4,e0MgE6pdJdOI,1
